fill	key	clickSelects	showSelected1	showSelected2	ymin	ymax	xmin	xmax
#619CFF	(60,70] Mathematics	Mathematics	Sem1	Mathematics	0	53.0625	1.15	1.16875
#F564E3	(60,70] Physics	Physics	Sem1	Physics	0	57.2923076923077	1.3	1.31875
#B79F00	(60,70] Chemistry	Chemistry	Sem1	Chemistry	0	59.4888888888889	0.7	0.71875
#F8766D	(60,70] Biology	Biology	Sem1	Biology	0	55.1789473684211	0.55	0.56875
#00BA38	(60,70] English	English	Sem1	English	0	59.4	0.85	0.86875
#00BFC4	(60,70] History	History	Sem1	History	0	57.3333333333333	1	1.01875
#619CFF	(60,70] Mathematics	Mathematics	Sem2	Mathematics	0	55.4166666666667	1.16875	1.1875
#F564E3	(60,70] Physics	Physics	Sem2	Physics	0	57.021052631579	1.31875	1.3375
#B79F00	(60,70] Chemistry	Chemistry	Sem2	Chemistry	0	56.04	0.71875	0.7375
#F8766D	(60,70] Biology	Biology	Sem2	Biology	0	55.2615384615385	0.56875	0.5875
#00BA38	(60,70] English	English	Sem2	English	0	57.1470588235294	0.86875	0.8875
#00BFC4	(60,70] History	History	Sem2	History	0	57.9473684210527	1.01875	1.0375
#619CFF	(60,70] Mathematics	Mathematics	Sem3	Mathematics	0	54.795	1.1875	1.20625
#F564E3	(60,70] Physics	Physics	Sem3	Physics	0	58.421052631579	1.3375	1.35625
#B79F00	(60,70] Chemistry	Chemistry	Sem3	Chemistry	0	57.6736842105263	0.7375	0.75625
#F8766D	(60,70] Biology	Biology	Sem3	Biology	0	61.7142857142857	0.5875	0.60625
#00BA38	(60,70] English	English	Sem3	English	0	57.3333333333333	0.8875	0.90625
#00BFC4	(60,70] History	History	Sem3	History	0	57.425	1.0375	1.05625
#619CFF	(60,70] Mathematics	Mathematics	Sem4	Mathematics	0	54.6368421052632	1.20625	1.225
#F564E3	(60,70] Physics	Physics	Sem4	Physics	0	57.8428571428572	1.35625	1.375
#B79F00	(60,70] Chemistry	Chemistry	Sem4	Chemistry	0	57.0555555555556	0.75625	0.775
#F8766D	(60,70] Biology	Biology	Sem4	Biology	0	58.7538461538462	0.60625	0.625
#00BA38	(60,70] English	English	Sem4	English	0	64.73	0.90625	0.925
#00BFC4	(60,70] History	History	Sem4	History	0	62.3333333333333	1.05625	1.075
#619CFF	(60,70] Mathematics	Mathematics	Sem5	Mathematics	0	58.775	1.225	1.24375
#F564E3	(60,70] Physics	Physics	Sem5	Physics	0	57.8785714285714	1.375	1.39375
#B79F00	(60,70] Chemistry	Chemistry	Sem5	Chemistry	0	55.7909090909091	0.775	0.79375
#F8766D	(60,70] Biology	Biology	Sem5	Biology	0	63.2818181818182	0.625	0.64375
#00BA38	(60,70] English	English	Sem5	English	0	58.2384615384616	0.925	0.94375
#00BFC4	(60,70] History	History	Sem5	History	0	60.6166666666667	1.075	1.09375
#619CFF	(60,70] Mathematics	Mathematics	Sem6	Mathematics	0	57.0153846153846	1.24375	1.2625
#F564E3	(60,70] Physics	Physics	Sem6	Physics	0	56.1846153846154	1.39375	1.4125
#B79F00	(60,70] Chemistry	Chemistry	Sem6	Chemistry	0	60.54	0.79375	0.8125
#F8766D	(60,70] Biology	Biology	Sem6	Biology	0	63.6538461538462	0.64375	0.6625
#00BA38	(60,70] English	English	Sem6	English	0	63.0142857142857	0.94375	0.9625
#00BFC4	(60,70] History	History	Sem6	History	0	61.1625	1.09375	1.1125
#619CFF	(60,70] Mathematics	Mathematics	Sem7	Mathematics	0	58.4916666666667	1.2625	1.28125
#F564E3	(60,70] Physics	Physics	Sem7	Physics	0	60.0714285714286	1.4125	1.43125
#B79F00	(60,70] Chemistry	Chemistry	Sem7	Chemistry	0	60.9571428571429	0.8125	0.83125
#F8766D	(60,70] Biology	Biology	Sem7	Biology	0	61.175	0.6625	0.68125
#00BA38	(60,70] English	English	Sem7	English	0	63.6	0.9625	0.98125
#00BFC4	(60,70] History	History	Sem7	History	0	59.7	1.1125	1.13125
#619CFF	(60,70] Mathematics	Mathematics	Sem8	Mathematics	0	64.55	1.28125	1.3
#F564E3	(60,70] Physics	Physics	Sem8	Physics	0	59.27	1.43125	1.45
#B79F00	(60,70] Chemistry	Chemistry	Sem8	Chemistry	0	60.1333333333333	0.83125	0.85
