fill	key	tooltip	clickSelects	showSelected1	xmin	xmax	ymin	ymax
#FEA500	S047	"Student: S047
Average Grade: 65.7%
Study Hours: 74
Attendance: 69.3%"	S047	Sem1	0	65.6666666666667	0.55	1.45
#DC9D00	S047	"Student: S047
Average Grade: 69.9%
Study Hours: 86
Attendance: 71.8%"	S047	Sem3	65.6666666666667	135.516666666667	0.55	1.45
#DE9D00	S022	"Student: S022
Average Grade: 69.6%
Study Hours: 66
Attendance: 74%"	S022	Sem4	0	69.5833333333333	1.55	2.45
#F8A300	S018	"Student: S018
Average Grade: 66.4%
Study Hours: 78
Attendance: 76.7%"	S018	Sem1	0	66.3833333333334	2.55	3.45
#D99C00	S018	"Student: S018
Average Grade: 70.2%
Study Hours: 81
Attendance: 75.2%"	S018	Sem2	66.3833333333334	136.6	2.55	3.45
#D09900	S018	"Student: S018
Average Grade: 71.4%
Study Hours: 80
Attendance: 81%"	S018	Sem3	136.6	207.95	2.55	3.45
#C89700	S018	"Student: S018
Average Grade: 72.4%
Study Hours: 94
Attendance: 78.2%"	S018	Sem4	207.95	280.3	2.55	3.45
#AF9100	S018	"Student: S018
Average Grade: 75.4%
Study Hours: 86
Attendance: 77.7%"	S018	Sem6	280.3	355.683333333333	2.55	3.45
#E19E00	S046	"Student: S046
Average Grade: 69.2%
Study Hours: 92
Attendance: 73.3%"	S046	Sem3	0	69.2333333333333	3.55	4.45
#B69200	S046	"Student: S046
Average Grade: 74.6%
Study Hours: 83
Attendance: 76.7%"	S046	Sem6	69.2333333333333	143.85	3.55	4.45
#DE9D00	S037	"Student: S037
Average Grade: 69.7%
Study Hours: 69
Attendance: 73.7%"	S037	Sem3	0	69.6666666666667	4.55	5.45
#DB9C00	S037	"Student: S037
Average Grade: 70%
Study Hours: 79
Attendance: 76.2%"	S037	Sem4	69.6666666666667	139.7	4.55	5.45
#C19600	S037	"Student: S037
Average Grade: 73.2%
Study Hours: 88
Attendance: 77.8%"	S037	Sem5	139.7	212.9	4.55	5.45
#A28D00	S037	"Student: S037
Average Grade: 77.1%
Study Hours: 103
Attendance: 78.3%"	S037	Sem7	212.9	289.983333333333	4.55	5.45
#E29E00	S014	"Student: S014
Average Grade: 69.1%
Study Hours: 73
Attendance: 75%"	S014	Sem2	0	69.1333333333333	5.55	6.45
