fill	key	tooltip	clickSelects	showSelected1	showSelected2	ymin	ymax	xmin	xmax
#619CFF	(60,70] Mathematics	"Attendance: (60,70]
Subject: Mathematics
Avg Grade: 53.1%
Students: 24"	Mathematics	Sem1	Mathematics	0	53.0625	1.15	1.16875
#F564E3	(60,70] Physics	"Attendance: (60,70]
Subject: Physics
Avg Grade: 57.3%
Students: 26"	Physics	Sem1	Physics	0	57.2923076923077	1.3375	1.35625
#B79F00	(60,70] Chemistry	"Attendance: (60,70]
Subject: Chemistry
Avg Grade: 59.5%
Students: 27"	Chemistry	Sem1	Chemistry	0	59.4888888888889	0.775	0.79375
#F8766D	(60,70] Biology	"Attendance: (60,70]
Subject: Biology
Avg Grade: 55.2%
Students: 19"	Biology	Sem1	Biology	0	55.1789473684211	0.55	0.56875
#00BA38	(60,70] English	"Attendance: (60,70]
Subject: English
Avg Grade: 59.4%
Students: 18"	English	Sem1	English	0	59.4	0.925	0.94375
#00BFC4	(60,70] History	"Attendance: (60,70]
Subject: History
Avg Grade: 57.3%
Students: 21"	History	Sem1	History	0	57.3333333333333	1	1.01875
#619CFF	(60,70] Mathematics	"Attendance: (60,70]
Subject: Mathematics
Avg Grade: 55.4%
Students: 18"	Mathematics	Sem2	Mathematics	0	55.4166666666667	1.20625	1.225
#F564E3	(60,70] Physics	"Attendance: (60,70]
Subject: Physics
Avg Grade: 57%
Students: 19"	Physics	Sem2	Physics	0	57.021052631579	1.31875	1.3375
#B79F00	(60,70] Chemistry	"Attendance: (60,70]
Subject: Chemistry
Avg Grade: 56%
Students: 20"	Chemistry	Sem2	Chemistry	0	56.04	0.71875	0.7375
#F8766D	(60,70] Biology	"Attendance: (60,70]
Subject: Biology
Avg Grade: 55.3%
Students: 13"	Biology	Sem2	Biology	0	55.2615384615385	0.56875	0.5875
#00BA38	(60,70] English	"Attendance: (60,70]
Subject: English
Avg Grade: 57.1%
Students: 17"	English	Sem2	English	0	57.1470588235294	0.85	0.86875
#00BFC4	(60,70] History	"Attendance: (60,70]
Subject: History
Avg Grade: 57.9%
Students: 19"	History	Sem2	History	0	57.9473684210527	1.0375	1.05625
#619CFF	(60,70] Mathematics	"Attendance: (60,70]
Subject: Mathematics
Avg Grade: 54.8%
Students: 20"	Mathematics	Sem3	Mathematics	0	54.795	1.1875	1.20625
#F564E3	(60,70] Physics	"Attendance: (60,70]
Subject: Physics
Avg Grade: 58.4%
Students: 19"	Physics	Sem3	Physics	0	58.421052631579	1.39375	1.4125
#B79F00	(60,70] Chemistry	"Attendance: (60,70]
Subject: Chemistry
Avg Grade: 57.7%
Students: 19"	Chemistry	Sem3	Chemistry	0	57.6736842105263	0.75625	0.775
#F8766D	(60,70] Biology	"Attendance: (60,70]
Subject: Biology
Avg Grade: 61.7%
Students: 21"	Biology	Sem3	Biology	0	61.7142857142857	0.64375	0.6625
#00BA38	(60,70] English	"Attendance: (60,70]
Subject: English
Avg Grade: 57.3%
Students: 12"	English	Sem3	English	0	57.3333333333333	0.86875	0.8875
#00BFC4	(60,70] History	"Attendance: (60,70]
Subject: History
Avg Grade: 57.4%
Students: 12"	History	Sem3	History	0	57.425	1.01875	1.0375
#619CFF	(60,70] Mathematics	"Attendance: (60,70]
Subject: Mathematics
Avg Grade: 54.6%
Students: 19"	Mathematics	Sem4	Mathematics	0	54.6368421052632	1.16875	1.1875
#F564E3	(60,70] Physics	"Attendance: (60,70]
Subject: Physics
Avg Grade: 57.8%
Students: 21"	Physics	Sem4	Physics	0	57.8428571428572	1.35625	1.375
#B79F00	(60,70] Chemistry	"Attendance: (60,70]
Subject: Chemistry
Avg Grade: 57.1%
Students: 18"	Chemistry	Sem4	Chemistry	0	57.0555555555556	0.7375	0.75625
#F8766D	(60,70] Biology	"Attendance: (60,70]
Subject: Biology
Avg Grade: 58.8%
Students: 13"	Biology	Sem4	Biology	0	58.7538461538462	0.5875	0.60625
#00BA38	(60,70] English	"Attendance: (60,70]
Subject: English
Avg Grade: 64.7%
Students: 10"	English	Sem4	English	0	64.73	0.98125	1
#00BFC4	(60,70] History	"Attendance: (60,70]
Subject: History
Avg Grade: 62.3%
Students: 12"	History	Sem4	History	0	62.3333333333333	1.13125	1.15
#619CFF	(60,70] Mathematics	"Attendance: (60,70]
Subject: Mathematics
Avg Grade: 58.8%
Students: 16"	Mathematics	Sem5	Mathematics	0	58.775	1.2625	1.28125
#F564E3	(60,70] Physics	"Attendance: (60,70]
Subject: Physics
Avg Grade: 57.9%
Students: 14"	Physics	Sem5	Physics	0	57.8785714285714	1.375	1.39375
#B79F00	(60,70] Chemistry	"Attendance: (60,70]
Subject: Chemistry
Avg Grade: 55.8%
Students: 11"	Chemistry	Sem5	Chemistry	0	55.7909090909091	0.7	0.71875
#F8766D	(60,70] Biology	"Attendance: (60,70]
Subject: Biology
Avg Grade: 63.3%
Students: 11"	Biology	Sem5	Biology	0	63.2818181818182	0.6625	0.68125
#00BA38	(60,70] English	"Attendance: (60,70]
Subject: English
Avg Grade: 58.2%
Students: 13"	English	Sem5	English	0	58.2384615384616	0.90625	0.925
#00BFC4	(60,70] History	"Attendance: (60,70]
Subject: History
Avg Grade: 60.6%
Students: 12"	History	Sem5	History	0	60.6166666666667	1.075	1.09375
#619CFF	(60,70] Mathematics	"Attendance: (60,70]
Subject: Mathematics
Avg Grade: 57%
Students: 13"	Mathematics	Sem6	Mathematics	0	57.0153846153846	1.225	1.24375
#F564E3	(60,70] Physics	"Attendance: (60,70]
Subject: Physics
Avg Grade: 56.2%
Students: 13"	Physics	Sem6	Physics	0	56.1846153846154	1.3	1.31875
#B79F00	(60,70] Chemistry	"Attendance: (60,70]
Subject: Chemistry
Avg Grade: 60.5%
Students: 10"	Chemistry	Sem6	Chemistry	0	60.54	0.8125	0.83125
#F8766D	(60,70] Biology	"Attendance: (60,70]
Subject: Biology
Avg Grade: 63.7%
Students: 13"	Biology	Sem6	Biology	0	63.6538461538462	0.68125	0.7
#00BA38	(60,70] English	"Attendance: (60,70]
Subject: English
Avg Grade: 63%
Students: 7"	English	Sem6	English	0	63.0142857142857	0.94375	0.9625
#00BFC4	(60,70] History	"Attendance: (60,70]
Subject: History
Avg Grade: 61.2%
Students: 8"	History	Sem6	History	0	61.1625	1.09375	1.1125
#619CFF	(60,70] Mathematics	"Attendance: (60,70]
Subject: Mathematics
Avg Grade: 58.5%
Students: 12"	Mathematics	Sem7	Mathematics	0	58.4916666666667	1.24375	1.2625
#F564E3	(60,70] Physics	"Attendance: (60,70]
Subject: Physics
Avg Grade: 60.1%
Students: 14"	Physics	Sem7	Physics	0	60.0714285714286	1.43125	1.45
#B79F00	(60,70] Chemistry	"Attendance: (60,70]
Subject: Chemistry
Avg Grade: 61%
Students: 14"	Chemistry	Sem7	Chemistry	0	60.9571428571429	0.83125	0.85
#F8766D	(60,70] Biology	"Attendance: (60,70]
Subject: Biology
Avg Grade: 61.2%
Students: 12"	Biology	Sem7	Biology	0	61.175	0.60625	0.625
#00BA38	(60,70] English	"Attendance: (60,70]
Subject: English
Avg Grade: 63.6%
Students: 12"	English	Sem7	English	0	63.6	0.9625	0.98125
#00BFC4	(60,70] History	"Attendance: (60,70]
Subject: History
Avg Grade: 59.7%
Students: 2"	History	Sem7	History	0	59.7	1.05625	1.075
#619CFF	(60,70] Mathematics	"Attendance: (60,70]
Subject: Mathematics
Avg Grade: 64.6%
Students: 8"	Mathematics	Sem8	Mathematics	0	64.55	1.28125	1.3
#F564E3	(60,70] Physics	"Attendance: (60,70]
Subject: Physics
Avg Grade: 59.3%
Students: 10"	Physics	Sem8	Physics	0	59.27	1.4125	1.43125
#B79F00	(60,70] Chemistry	"Attendance: (60,70]
Subject: Chemistry
Avg Grade: 60.1%
Students: 12"	Chemistry	Sem8	Chemistry	0	60.1333333333333	0.79375	0.8125
#F8766D	(60,70] Biology	"Attendance: (60,70]
Subject: Biology
Avg Grade: 61.3%
Students: 7"	Biology	Sem8	Biology	0	61.2714285714286	0.625	0.64375
#00BA38	(60,70] English	"Attendance: (60,70]
Subject: English
Avg Grade: 57.6%
Students: 8"	English	Sem8	English	0	57.55	0.8875	0.90625
#00BFC4	(60,70] History	"Attendance: (60,70]
Subject: History
Avg Grade: 61.3%
Students: 5"	History	Sem8	History	0	61.26	1.1125	1.13125
#619CFF	(70,80] Mathematics	"Attendance: (70,80]
Subject: Mathematics
Avg Grade: 64.4%
Students: 16"	Mathematics	Sem1	Mathematics	0	64.375	2.16875	2.1875
#F564E3	(70,80] Physics	"Attendance: (70,80]
Subject: Physics
Avg Grade: 63.1%
Students: 15"	Physics	Sem1	Physics	0	63.12	2.3	2.31875
#B79F00	(70,80] Chemistry	"Attendance: (70,80]
Subject: Chemistry
Avg Grade: 66.6%
Students: 14"	Chemistry	Sem1	Chemistry	0	66.6071428571429	1.71875	1.7375
#F8766D	(70,80] Biology	"Attendance: (70,80]
Subject: Biology
Avg Grade: 66.9%
Students: 25"	Biology	Sem1	Biology	0	66.924	1.56875	1.5875
#00BA38	(70,80] English	"Attendance: (70,80]
Subject: English
Avg Grade: 66%
Students: 24"	English	Sem1	English	0	65.9666666666667	1.85	1.86875
#00BFC4	(70,80] History	"Attendance: (70,80]
Subject: History
Avg Grade: 68.7%
Students: 18"	History	Sem1	History	0	68.6722222222222	2	2.01875
