group	colour	x	y	clickSelects	showSelected1
1	#F8766D	1	71.8	S001	Biology
1	#F8766D	2	77.7	S001	Biology
1	#F8766D	3	74.9	S001	Biology
1	#F8766D	4	80.4	S001	Biology
1	#F8766D	5	78.6	S001	Biology
1	#F8766D	6	78.2	S001	Biology
1	#F8766D	7	88.9	S001	Biology
1	#F8766D	8	88.2	S001	Biology
2	#F8766D	1	69.1	S002	Biology
2	#F8766D	2	65	S002	Biology
2	#F8766D	3	69.7	S002	Biology
2	#F8766D	4	74.1	S002	Biology
2	#F8766D	5	79.9	S002	Biology
2	#F8766D	6	73.6	S002	Biology
2	#F8766D	7	72.3	S002	Biology
2	#F8766D	8	84.1	S002	Biology
3	#F8766D	1	57	S003	Biology
3	#F8766D	2	66.9	S003	Biology
3	#F8766D	3	70.4	S003	Biology
3	#F8766D	4	63.1	S003	Biology
3	#F8766D	5	65.9	S003	Biology
3	#F8766D	6	67.7	S003	Biology
3	#F8766D	7	70	S003	Biology
3	#F8766D	8	68.3	S003	Biology
4	#F8766D	1	60.9	S004	Biology
4	#F8766D	2	62	S004	Biology
4	#F8766D	3	61.8	S004	Biology
4	#F8766D	4	61.8	S004	Biology
4	#F8766D	5	55.7	S004	Biology
4	#F8766D	6	69.6	S004	Biology
4	#F8766D	7	60	S004	Biology
4	#F8766D	8	75.9	S004	Biology
5	#F8766D	1	78.7	S005	Biology
5	#F8766D	2	86.7	S005	Biology
5	#F8766D	3	71.2	S005	Biology
5	#F8766D	4	76.9	S005	Biology
5	#F8766D	5	86.8	S005	Biology
5	#F8766D	6	83.9	S005	Biology
5	#F8766D	7	83.7	S005	Biology
5	#F8766D	8	88.3	S005	Biology
6	#F8766D	1	69.9	S006	Biology
6	#F8766D	2	72.8	S006	Biology
6	#F8766D	3	84.8	S006	Biology
6	#F8766D	4	86.5	S006	Biology
6	#F8766D	5	91.1	S006	Biology
6	#F8766D	6	80.6	S006	Biology
6	#F8766D	7	76.8	S006	Biology
6	#F8766D	8	92	S006	Biology
7	#F8766D	1	63.6	S007	Biology
7	#F8766D	2	58.9	S007	Biology
7	#F8766D	3	65.9	S007	Biology
7	#F8766D	4	85.9	S007	Biology
7	#F8766D	5	70	S007	Biology
7	#F8766D	6	84.4	S007	Biology
7	#F8766D	7	84.2	S007	Biology
7	#F8766D	8	84.8	S007	Biology
8	#F8766D	1	61.5	S008	Biology
8	#F8766D	2	71.6	S008	Biology
8	#F8766D	3	62	S008	Biology
8	#F8766D	4	64.8	S008	Biology
8	#F8766D	5	61	S008	Biology
8	#F8766D	6	65.1	S008	Biology
8	#F8766D	7	78.3	S008	Biology
8	#F8766D	8	78.4	S008	Biology
9	#F8766D	1	54.2	S009	Biology
9	#F8766D	2	51.3	S009	Biology
9	#F8766D	3	55	S009	Biology
9	#F8766D	4	55.6	S009	Biology
9	#F8766D	5	55.6	S009	Biology
9	#F8766D	6	64.7	S009	Biology
9	#F8766D	7	55.3	S009	Biology
9	#F8766D	8	64.8	S009	Biology
10	#F8766D	1	52.9	S010	Biology
10	#F8766D	2	47.4	S010	Biology
10	#F8766D	3	62	S010	Biology
10	#F8766D	4	54	S010	Biology
10	#F8766D	5	55	S010	Biology
10	#F8766D	6	74.6	S010	Biology
10	#F8766D	7	58	S010	Biology
10	#F8766D	8	58.5	S010	Biology
11	#F8766D	1	41.8	S011	Biology
11	#F8766D	2	47.6	S011	Biology
11	#F8766D	3	46.3	S011	Biology
11	#F8766D	4	51.9	S011	Biology
11	#F8766D	5	65.8	S011	Biology
11	#F8766D	6	45	S011	Biology
11	#F8766D	7	50.8	S011	Biology
11	#F8766D	8	66.6	S011	Biology
12	#F8766D	1	69.5	S012	Biology
12	#F8766D	2	70.9	S012	Biology
12	#F8766D	3	75.6	S012	Biology
12	#F8766D	4	72.6	S012	Biology
