group	size	y	key	tooltip
1	5.51447422837485	58.4	S043 Mathematics Sem1	"Student: S043
Subject: Mathematics
Semester: Sem1
Grade: 58.4%
Study Hours: 6
Attendance: 71%"
1	6.77171134256227	60	S043 Physics Sem1	"Student: S043
Subject: Physics
Semester: Sem1
Grade: 60%
Study Hours: 11
Attendance: 64%"
1	8.334005334008	67.7	S043 Chemistry Sem1	"Student: S043
Subject: Chemistry
Semester: Sem1
Grade: 67.7%
Study Hours: 20
Attendance: 70%"
1	6.32633674318044	73.8	S043 Biology Sem1	"Student: S043
Subject: Biology
Semester: Sem1
Grade: 73.8%
Study Hours: 9
Attendance: 76%"
1	8.18372141824148	77.2	S043 English Sem1	"Student: S043
Subject: English
Semester: Sem1
Grade: 77.2%
Study Hours: 19
Attendance: 74%"
1	8.334005334008	71.6	S043 History Sem1	"Student: S043
Subject: History
Semester: Sem1
Grade: 71.6%
Study Hours: 20
Attendance: 75%"
1	6.77171134256227	68.4	S043 Mathematics Sem2	"Student: S043
Subject: Mathematics
Semester: Sem2
Grade: 68.4%
Study Hours: 11
Attendance: 76%"
1	7.86925840548177	64.9	S043 Physics Sem2	"Student: S043
Subject: Physics
Semester: Sem2
Grade: 64.9%
Study Hours: 17
Attendance: 72%"
1	7.1697837802689	68.9	S043 Chemistry Sem2	"Student: S043
Subject: Chemistry
Semester: Sem2
Grade: 68.9%
Study Hours: 13
Attendance: 77%"
1	6.55600355600534	70.6	S043 Biology Sem2	"Student: S043
Subject: Biology
Semester: Sem2
Grade: 70.6%
Study Hours: 10
Attendance: 72%"
1	6.55600355600534	64.2	S043 English Sem2	"Student: S043
Subject: English
Semester: Sem2
Grade: 64.2%
Study Hours: 10
Attendance: 79%"
1	6.97573283972945	75.5	S043 History Sem2	"Student: S043
Subject: History
Semester: Sem2
Grade: 75.5%
Study Hours: 12
Attendance: 80%"
1	6.55600355600534	70.1	S043 Mathematics Sem3	"Student: S043
Subject: Mathematics
Semester: Sem3
Grade: 70.1%
Study Hours: 10
Attendance: 70%"
1	6.97573283972945	72.2	S043 Physics Sem3	"Student: S043
Subject: Physics
Semester: Sem3
Grade: 72.2%
Study Hours: 12
Attendance: 70%"
1	7.86925840548177	76.8	S043 Chemistry Sem3	"Student: S043
Subject: Chemistry
Semester: Sem3
Grade: 76.8%
Study Hours: 17
Attendance: 80%"
1	7.86925840548177	81.9	S043 Biology Sem3	"Student: S043
Subject: Biology
Semester: Sem3
Grade: 81.9%
Study Hours: 17
Attendance: 83%"
