group	size	y	key	tooltip
1	6.75190963311492	50.8	S038 Mathematics Sem1	"Student: S038
Subject: Mathematics
Semester: Sem1
Grade: 50.8%
Study Hours: 9
Attendance: 65%"
1	4.54000254000381	56.7	S038 Physics Sem1	"Student: S038
Subject: Physics
Semester: Sem1
Grade: 56.7%
Study Hours: 4
Attendance: 69%"
1	5.5921060405355	53.3	S038 Chemistry Sem1	"Student: S038
Subject: Chemistry
Semester: Sem1
Grade: 53.3%
Study Hours: 6
Attendance: 63%"
1	5.11085508419128	54.5	S038 Biology Sem1	"Student: S038
Subject: Biology
Semester: Sem1
Grade: 54.5%
Study Hours: 5
Attendance: 72%"
1	7.67961834247065	59.4	S038 English Sem1	"Student: S038
Subject: English
Semester: Sem1
Grade: 59.4%
Study Hours: 12
Attendance: 76%"
1	6.75190963311492	49.7	S038 History Sem1	"Student: S038
Subject: History
Semester: Sem1
Grade: 49.7%
Study Hours: 9
Attendance: 63%"
1	5.5921060405355	58.2	S038 Mathematics Sem2	"Student: S038
Subject: Mathematics
Semester: Sem2
Grade: 58.2%
Study Hours: 6
Attendance: 60%"
1	4.54000254000381	51.6	S038 Physics Sem2	"Student: S038
Subject: Physics
Semester: Sem2
Grade: 51.6%
Study Hours: 4
Attendance: 62%"
1	6.01609664451249	58.3	S038 Chemistry Sem2	"Student: S038
Subject: Chemistry
Semester: Sem2
Grade: 58.3%
Study Hours: 7
Attendance: 63%"
1	7.67961834247065	54.9	S038 Biology Sem2	"Student: S038
Subject: Biology
Semester: Sem2
Grade: 54.9%
Study Hours: 12
Attendance: 60%"
1	7.08000508000762	56.2	S038 English Sem2	"Student: S038
Subject: English
Semester: Sem2
Grade: 56.2%
Study Hours: 10
Attendance: 72%"
1	7.95683397181271	65.6	S038 History Sem2	"Student: S038
Subject: History
Semester: Sem2
Grade: 65.6%
Study Hours: 13
Attendance: 70%"
1	6.75190963311492	56.3	S038 Mathematics Sem3	"Student: S038
Subject: Mathematics
Semester: Sem3
Grade: 56.3%
Study Hours: 9
Attendance: 77%"
1	7.08000508000762	60.2	S038 Physics Sem3	"Student: S038
Subject: Physics
Semester: Sem3
Grade: 60.2%
Study Hours: 10
Attendance: 63%"
1	6.3994134506406	59.1	S038 Chemistry Sem3	"Student: S038
Subject: Chemistry
Semester: Sem3
Grade: 59.1%
Study Hours: 8
Attendance: 73%"
1	6.01609664451249	54.6	S038 Biology Sem3	"Student: S038
Subject: Biology
Semester: Sem3
Grade: 54.6%
Study Hours: 7
Attendance: 66%"
1	6.01609664451249	70.3	S038 English Sem3	"Student: S038
Subject: English
Semester: Sem3
Grade: 70.3%
Study Hours: 7
Attendance: 77%"
1	7.38815906080325	65	S038 History Sem3	"Student: S038
Subject: History
Semester: Sem3
Grade: 65%
Study Hours: 11
Attendance: 72%"
1	5.11085508419128	48.3	S038 Mathematics Sem4	"Student: S038
Subject: Mathematics
Semester: Sem4
Grade: 48.3%
Study Hours: 5
Attendance: 66%"
1	6.3994134506406	53.6	S038 Physics Sem4	"Student: S038
Subject: Physics
Semester: Sem4
Grade: 53.6%
Study Hours: 8
Attendance: 68%"
1	7.67961834247065	60.1	S038 Chemistry Sem4	"Student: S038
Subject: Chemistry
Semester: Sem4
Grade: 60.1%
Study Hours: 12
Attendance: 68%"
1	8.47576125802733	59.8	S038 Biology Sem4	"Student: S038
Subject: Biology
Semester: Sem4
Grade: 59.8%
Study Hours: 15
Attendance: 80%"
1	9.82881361258813	72.5	S038 English Sem4	"Student: S038
Subject: English
Semester: Sem4
Grade: 72.5%
Study Hours: 21
Attendance: 77%"
1	7.67961834247065	62.5	S038 History Sem4	"Student: S038
Subject: History
Semester: Sem4
Grade: 62.5%
Study Hours: 12
Attendance: 69%"
1	6.3994134506406	50.1	S038 Mathematics Sem5	"Student: S038
Subject: Mathematics
Semester: Sem5
Grade: 50.1%
Study Hours: 8
Attendance: 67%"
1	6.01609664451249	60.2	S038 Physics Sem5	"Student: S038
Subject: Physics
Semester: Sem5
Grade: 60.2%
Study Hours: 7
Attendance: 68%"
1	7.67961834247065	59.9	S038 Chemistry Sem5	"Student: S038
Subject: Chemistry
Semester: Sem5
Grade: 59.9%
Study Hours: 12
Attendance: 69%"
1	9.62000762001143	72	S038 Biology Sem5	"Student: S038
Subject: Biology
Semester: Sem5
Grade: 72%
Study Hours: 20
Attendance: 72%"
1	8.22171016838255	66.7	S038 English Sem5	"Student: S038
Subject: English
Semester: Sem5
Grade: 66.7%
Study Hours: 14
Attendance: 69%"
1	7.95683397181271	66.4	S038 History Sem5	"Student: S038
Subject: History
Semester: Sem5
Grade: 66.4%
Study Hours: 13
Attendance: 73%"
1	7.08000508000762	68	S038 Mathematics Sem6	"Student: S038
Subject: Mathematics
Semester: Sem6
Grade: 68%
Study Hours: 10
Attendance: 77%"
1	6.75190963311492	62.9	S038 Physics Sem6	"Student: S038
Subject: Physics
Semester: Sem6
Grade: 62.9%
Study Hours: 9
Attendance: 70%"
1	9.40531631177355	72.6	S038 Chemistry Sem6	"Student: S038
Subject: Chemistry
Semester: Sem6
Grade: 72.6%
Study Hours: 19
Attendance: 74%"
1	7.95683397181271	64.6	S038 Biology Sem6	"Student: S038
Subject: Biology
Semester: Sem6
Grade: 64.6%
Study Hours: 13
Attendance: 64%"
1	8.47576125802733	71.1	S038 English Sem6	"Student: S038
Subject: English
Semester: Sem6
Grade: 71.1%
Study Hours: 15
Attendance: 74%"
1	7.08000508000762	72.6	S038 History Sem6	"Student: S038
Subject: History
Semester: Sem6
Grade: 72.6%
Study Hours: 10
Attendance: 80%"
1	8.95608343640252	64.1	S038 Mathematics Sem7	"Student: S038
Subject: Mathematics
Semester: Sem7
Grade: 64.1%
Study Hours: 17
Attendance: 69%"
1	9.184212081071	74	S038 Physics Sem7	"Student: S038
Subject: Physics
Semester: Sem7
Grade: 74%
Study Hours: 18
Attendance: 75%"
1	9.62000762001143	76.1	S038 Chemistry Sem7	"Student: S038
Subject: Chemistry
Semester: Sem7
Grade: 76.1%
Study Hours: 20
Attendance: 84%"
1	8.47576125802733	72.4	S038 Biology Sem7	"Student: S038
Subject: Biology
Semester: Sem7
Grade: 72.4%
Study Hours: 15
Attendance: 81%"
1	8.72021505032247	73.5	S038 English Sem7	"Student: S038
Subject: English
Semester: Sem7
Grade: 73.5%
Study Hours: 16
Attendance: 65%"
1	7.67961834247065	69.7	S038 History Sem7	"Student: S038
Subject: History
Semester: Sem7
Grade: 69.7%
Study Hours: 12
Attendance: 76%"
1	8.72021505032247	66.9	S038 Mathematics Sem8	"Student: S038
Subject: Mathematics
Semester: Sem8
Grade: 66.9%
Study Hours: 16
Attendance: 70%"
1	7.67961834247065	65.5	S038 Physics Sem8	"Student: S038
Subject: Physics
Semester: Sem8
Grade: 65.5%
Study Hours: 12
Attendance: 71%"
1	7.38815906080325	69.7	S038 Chemistry Sem8	"Student: S038
Subject: Chemistry
Semester: Sem8
Grade: 69.7%
Study Hours: 11
Attendance: 74%"
1	7.38815906080325	71.6	S038 Biology Sem8	"Student: S038
Subject: Biology
Semester: Sem8
Grade: 71.6%
Study Hours: 11
Attendance: 78%"
1	8.47576125802733	74.1	S038 English Sem8	"Student: S038
Subject: English
Semester: Sem8
Grade: 74.1%
Study Hours: 15
Attendance: 75%"
1	10.230548917531	85.1	S038 History Sem8	"Student: S038
Subject: History
Semester: Sem8
Grade: 85.1%
Study Hours: 23
Attendance: 92%"
