group	clickSelects	colour	fill	showSelected2	x
1	Mathematics	#619CFF	#619CFF	Mathematics	1
1	Physics	#F564E3	#F564E3	Physics	1
1	Chemistry	#B79F00	#B79F00	Chemistry	1
1	Biology	#F8766D	#F8766D	Biology	1
1	English	#00BA38	#00BA38	English	1
1	History	#00BFC4	#00BFC4	History	1
1	Mathematics	#619CFF	#619CFF	Mathematics	2
1	Physics	#F564E3	#F564E3	Physics	2
1	Chemistry	#B79F00	#B79F00	Chemistry	2
1	Biology	#F8766D	#F8766D	Biology	2
1	English	#00BA38	#00BA38	English	2
1	History	#00BFC4	#00BFC4	History	2
1	Mathematics	#619CFF	#619CFF	Mathematics	3
1	Physics	#F564E3	#F564E3	Physics	3
1	Chemistry	#B79F00	#B79F00	Chemistry	3
1	Biology	#F8766D	#F8766D	Biology	3
1	English	#00BA38	#00BA38	English	3
1	History	#00BFC4	#00BFC4	History	3
1	Mathematics	#619CFF	#619CFF	Mathematics	4
1	Physics	#F564E3	#F564E3	Physics	4
1	Chemistry	#B79F00	#B79F00	Chemistry	4
1	Biology	#F8766D	#F8766D	Biology	4
1	English	#00BA38	#00BA38	English	4
1	History	#00BFC4	#00BFC4	History	4
1	Mathematics	#619CFF	#619CFF	Mathematics	5
1	Physics	#F564E3	#F564E3	Physics	5
1	Chemistry	#B79F00	#B79F00	Chemistry	5
1	Biology	#F8766D	#F8766D	Biology	5
1	English	#00BA38	#00BA38	English	5
1	History	#00BFC4	#00BFC4	History	5
1	Mathematics	#619CFF	#619CFF	Mathematics	6
1	Physics	#F564E3	#F564E3	Physics	6
1	Chemistry	#B79F00	#B79F00	Chemistry	6
1	Biology	#F8766D	#F8766D	Biology	6
1	English	#00BA38	#00BA38	English	6
1	History	#00BFC4	#00BFC4	History	6
1	Mathematics	#619CFF	#619CFF	Mathematics	7
1	Physics	#F564E3	#F564E3	Physics	7
1	Chemistry	#B79F00	#B79F00	Chemistry	7
1	Biology	#F8766D	#F8766D	Biology	7
1	English	#00BA38	#00BA38	English	7
1	History	#00BFC4	#00BFC4	History	7
1	Mathematics	#619CFF	#619CFF	Mathematics	8
1	Physics	#F564E3	#F564E3	Physics	8
1	Chemistry	#B79F00	#B79F00	Chemistry	8
1	Biology	#F8766D	#F8766D	Biology	8
1	English	#00BA38	#00BA38	English	8
1	History	#00BFC4	#00BFC4	History	8
