x	y	label	key	showSelected1
1	64	64	S001 Mathematics Sem1	S001
1	57.9	58	S002 Mathematics Sem1	S002
1	52.7	53	S003 Mathematics Sem1	S003
1	49.7	50	S004 Mathematics Sem1	S004
1	65.2	65	S005 Mathematics Sem1	S005
1	62.8	63	S006 Mathematics Sem1	S006
1	66.8	67	S007 Mathematics Sem1	S007
1	54.5	54	S008 Mathematics Sem1	S008
1	49.8	50	S009 Mathematics Sem1	S009
1	45.6	46	S010 Mathematics Sem1	S010
1	48.2	48	S011 Mathematics Sem1	S011
1	66	66	S012 Mathematics Sem1	S012
1	68	68	S013 Mathematics Sem1	S013
1	60.8	61	S014 Mathematics Sem1	S014
1	32.5	32	S015 Mathematics Sem1	S015
1	54.9	55	S016 Mathematics Sem1	S016
1	37.7	38	S017 Mathematics Sem1	S017
1	65.1	65	S018 Mathematics Sem1	S018
1	43.4	43	S019 Mathematics Sem1	S019
1	31.7	32	S020 Mathematics Sem1	S020
1	74.1	74	S021 Mathematics Sem1	S021
1	54.1	54	S022 Mathematics Sem1	S022
1	68.9	69	S023 Mathematics Sem1	S023
1	55.2	55	S024 Mathematics Sem1	S024
1	62	62	S025 Mathematics Sem1	S025
1	40	40	S026 Mathematics Sem1	S026
1	62.9	63	S027 Mathematics Sem1	S027
1	67.3	67	S028 Mathematics Sem1	S028
1	31.2	31	S029 Mathematics Sem1	S029
1	56	56	S030 Mathematics Sem1	S030
1	36.4	36	S031 Mathematics Sem1	S031
1	58.7	59	S032 Mathematics Sem1	S032
1	56.3	56	S033 Mathematics Sem1	S033
1	60.3	60	S034 Mathematics Sem1	S034
1	52.8	53	S035 Mathematics Sem1	S035
1	66.4	66	S036 Mathematics Sem1	S036
1	59.5	60	S037 Mathematics Sem1	S037
1	50.8	51	S038 Mathematics Sem1	S038
1	50	50	S039 Mathematics Sem1	S039
1	65.4	65	S040 Mathematics Sem1	S040
1	42.1	42	S041 Mathematics Sem1	S041
1	54.3	54	S042 Mathematics Sem1	S042
1	58.4	58	S043 Mathematics Sem1	S043
1	80.2	80	S044 Mathematics Sem1	S044
1	47.8	48	S045 Mathematics Sem1	S045
1	48	48	S046 Mathematics Sem1	S046
1	54.5	54	S047 Mathematics Sem1	S047
1	57.8	58	S048 Mathematics Sem1	S048
1	63.2	63	S049 Mathematics Sem1	S049
1	82.2	82	S050 Mathematics Sem1	S050
1	79.9	80	S001 Physics Sem1	S001
1	65.9	66	S002 Physics Sem1	S002
1	63.1	63	S003 Physics Sem1	S003
1	57.5	58	S004 Physics Sem1	S004
1	64.3	64	S005 Physics Sem1	S005
1	73.8	74	S006 Physics Sem1	S006
1	63.3	63	S007 Physics Sem1	S007
1	63.5	64	S008 Physics Sem1	S008
1	43.9	44	S009 Physics Sem1	S009
1	42.1	42	S010 Physics Sem1	S010
1	35.8	36	S011 Physics Sem1	S011
1	69.3	69	S012 Physics Sem1	S012
1	63.8	64	S013 Physics Sem1	S013
1	61.8	62	S014 Physics Sem1	S014
1	37.2	37	S015 Physics Sem1	S015
1	48.4	48	S016 Physics Sem1	S016
1	59.2	59	S017 Physics Sem1	S017
1	66.2	66	S018 Physics Sem1	S018
1	41.6	42	S019 Physics Sem1	S019
1	43.4	43	S020 Physics Sem1	S020
1	69.1	69	S021 Physics Sem1	S021
1	60.5	60	S022 Physics Sem1	S022
1	62.9	63	S023 Physics Sem1	S023
1	55.9	56	S024 Physics Sem1	S024
1	59.4	59	S025 Physics Sem1	S025
1	43.7	44	S026 Physics Sem1	S026
1	52.5	52	S027 Physics Sem1	S027
