colour	x	y	showSelected1	fill
#619CFF	12	64	Mathematics	#619CFF
#619CFF	13	57.9	Mathematics	#619CFF
#619CFF	7	52.7	Mathematics	#619CFF
#619CFF	2	49.7	Mathematics	#619CFF
#619CFF	10	65.2	Mathematics	#619CFF
#619CFF	8	62.8	Mathematics	#619CFF
#619CFF	11	66.8	Mathematics	#619CFF
#619CFF	12	54.5	Mathematics	#619CFF
#619CFF	8	49.8	Mathematics	#619CFF
#619CFF	4	45.6	Mathematics	#619CFF
#619CFF	6	48.2	Mathematics	#619CFF
#619CFF	14	66	Mathematics	#619CFF
#619CFF	9	68	Mathematics	#619CFF
#619CFF	12	60.8	Mathematics	#619CFF
#619CFF	2	32.5	Mathematics	#619CFF
#619CFF	11	54.9	Mathematics	#619CFF
#619CFF	7	37.7	Mathematics	#619CFF
#619CFF	11	65.1	Mathematics	#619CFF
#619CFF	6	43.4	Mathematics	#619CFF
#619CFF	2	31.7	Mathematics	#619CFF
#619CFF	13	74.1	Mathematics	#619CFF
#619CFF	6	54.1	Mathematics	#619CFF
#619CFF	11	68.9	Mathematics	#619CFF
#619CFF	11	55.2	Mathematics	#619CFF
#619CFF	11	62	Mathematics	#619CFF
#619CFF	7	40	Mathematics	#619CFF
#619CFF	10	62.9	Mathematics	#619CFF
#619CFF	12	67.3	Mathematics	#619CFF
#619CFF	3	31.2	Mathematics	#619CFF
#619CFF	9	56	Mathematics	#619CFF
#619CFF	5	36.4	Mathematics	#619CFF
#619CFF	12	58.7	Mathematics	#619CFF
#619CFF	9	56.3	Mathematics	#619CFF
#619CFF	9	60.3	Mathematics	#619CFF
#619CFF	11	52.8	Mathematics	#619CFF
#619CFF	14	66.4	Mathematics	#619CFF
#619CFF	8	59.5	Mathematics	#619CFF
#619CFF	9	50.8	Mathematics	#619CFF
#619CFF	6	50	Mathematics	#619CFF
#619CFF	10	65.4	Mathematics	#619CFF
#619CFF	10	42.1	Mathematics	#619CFF
#619CFF	11	54.3	Mathematics	#619CFF
#619CFF	6	58.4	Mathematics	#619CFF
#619CFF	11	80.2	Mathematics	#619CFF
#619CFF	8	47.8	Mathematics	#619CFF
#619CFF	8	48	Mathematics	#619CFF
#619CFF	9	54.5	Mathematics	#619CFF
#619CFF	10	57.8	Mathematics	#619CFF
#619CFF	9	63.2	Mathematics	#619CFF
#619CFF	21	82.2	Mathematics	#619CFF
#F564E3	16	79.9	Physics	#F564E3
#F564E3	7	65.9	Physics	#F564E3
#F564E3	14	63.1	Physics	#F564E3
#F564E3	7	57.5	Physics	#F564E3
#F564E3	10	64.3	Physics	#F564E3
#F564E3	15	73.8	Physics	#F564E3
#F564E3	9	63.3	Physics	#F564E3
#F564E3	15	63.5	Physics	#F564E3
#F564E3	5	43.9	Physics	#F564E3
#F564E3	2	42.1	Physics	#F564E3
#F564E3	7	35.8	Physics	#F564E3
#F564E3	10	69.3	Physics	#F564E3
#F564E3	17	63.8	Physics	#F564E3
#F564E3	11	61.8	Physics	#F564E3
#F564E3	6	37.2	Physics	#F564E3
#F564E3	4	48.4	Physics	#F564E3
#F564E3	5	59.2	Physics	#F564E3
#F564E3	16	66.2	Physics	#F564E3
#F564E3	3	41.6	Physics	#F564E3
#F564E3	3	43.4	Physics	#F564E3
#F564E3	17	69.1	Physics	#F564E3
#F564E3	11	60.5	Physics	#F564E3
#F564E3	11	62.9	Physics	#F564E3
#F564E3	4	55.9	Physics	#F564E3
#F564E3	12	59.4	Physics	#F564E3
#F564E3	9	43.7	Physics	#F564E3
#F564E3	8	52.5	Physics	#F564E3
#F564E3	10	60.4	Physics	#F564E3
#F564E3	4	35.6	Physics	#F564E3
#F564E3	8	60.5	Physics	#F564E3
#F564E3	6	39.8	Physics	#F564E3
#F564E3	8	56.4	Physics	#F564E3
#F564E3	2	50.7	Physics	#F564E3
#F564E3	9	71.2	Physics	#F564E3
#F564E3	6	62.5	Physics	#F564E3
#F564E3	15	58.7	Physics	#F564E3
#F564E3	7	56.4	Physics	#F564E3
#F564E3	4	56.7	Physics	#F564E3
#F564E3	7	54.9	Physics	#F564E3
#F564E3	13	61.8	Physics	#F564E3
#F564E3	8	53	Physics	#F564E3
#F564E3	10	52.7	Physics	#F564E3
#F564E3	11	60	Physics	#F564E3
#F564E3	24	87.4	Physics	#F564E3
#F564E3	9	51.4	Physics	#F564E3
#F564E3	11	64	Physics	#F564E3
#F564E3	12	71	Physics	#F564E3
#F564E3	14	66.4	Physics	#F564E3
#F564E3	12	69.8	Physics	#F564E3
#F564E3	18	83.7	Physics	#F564E3
#B79F00	13	64.1	Chemistry	#B79F00
#B79F00	13	64.5	Chemistry	#B79F00
#B79F00	11	70.9	Chemistry	#B79F00
#B79F00	13	64.1	Chemistry	#B79F00
#B79F00	16	67.7	Chemistry	#B79F00
#B79F00	9	58.2	Chemistry	#B79F00
#B79F00	14	67	Chemistry	#B79F00
#B79F00	11	57.2	Chemistry	#B79F00
#B79F00	3	44.2	Chemistry	#B79F00
#B79F00	9	50.2	Chemistry	#B79F00
#B79F00	6	52	Chemistry	#B79F00
#B79F00	11	64.7	Chemistry	#B79F00
#B79F00	10	68.3	Chemistry	#B79F00
#B79F00	14	70.7	Chemistry	#B79F00
#B79F00	3	37.3	Chemistry	#B79F00
#B79F00	8	55.4	Chemistry	#B79F00
#B79F00	3	51.4	Chemistry	#B79F00
#B79F00	4	55.9	Chemistry	#B79F00
#B79F00	8	50.1	Chemistry	#B79F00
#B79F00	10	50.9	Chemistry	#B79F00
#B79F00	15	69.6	Chemistry	#B79F00
#B79F00	12	67.8	Chemistry	#B79F00
#B79F00	12	68	Chemistry	#B79F00
#B79F00	12	58.9	Chemistry	#B79F00
#B79F00	9	66	Chemistry	#B79F00
#B79F00	11	50.3	Chemistry	#B79F00
#B79F00	7	65	Chemistry	#B79F00
#B79F00	10	67.7	Chemistry	#B79F00
#B79F00	2	43	Chemistry	#B79F00
#B79F00	6	57	Chemistry	#B79F00
#B79F00	3	49.1	Chemistry	#B79F00
#B79F00	9	58	Chemistry	#B79F00
#B79F00	13	58.3	Chemistry	#B79F00
#B79F00	12	68.7	Chemistry	#B79F00
#B79F00	5	53.1	Chemistry	#B79F00
#B79F00	9	67.7	Chemistry	#B79F00
#B79F00	13	68.4	Chemistry	#B79F00
#B79F00	6	53.3	Chemistry	#B79F00
#B79F00	3	50.9	Chemistry	#B79F00
#B79F00	17	66.7	Chemistry	#B79F00
#B79F00	5	48.3	Chemistry	#B79F00
#B79F00	15	54.7	Chemistry	#B79F00
#B79F00	20	67.7	Chemistry	#B79F00
#B79F00	15	85.1	Chemistry	#B79F00
#B79F00	9	54.5	Chemistry	#B79F00
#B79F00	12	64.2	Chemistry	#B79F00
#B79F00	19	69.6	Chemistry	#B79F00
#B79F00	14	69.1	Chemistry	#B79F00
#B79F00	14	77.9	Chemistry	#B79F00
#B79F00	11	70.3	Chemistry	#B79F00
#F8766D	13	71.8	Biology	#F8766D
#F8766D	12	69.1	Biology	#F8766D
#F8766D	10	57	Biology	#F8766D
#F8766D	10	60.9	Biology	#F8766D
#F8766D	20	78.7	Biology	#F8766D
#F8766D	18	69.9	Biology	#F8766D
#F8766D	10	63.6	Biology	#F8766D
#F8766D	6	61.5	Biology	#F8766D
#F8766D	12	54.2	Biology	#F8766D
