group	colour	showSelected2
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#F8766D	Biology
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#B79F00	Chemistry
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BA38	English
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#00BFC4	History
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
1	#619CFF	Mathematics
