fill	key	clickSelects	showSelected1	ymin	ymax	xmin	xmax
#F8766D	Biology	Biology	Sem1	0	61.792	0.55	1.45
#F8766D	Biology	Biology	Sem2	61.792	124.212	0.55	1.45
#F8766D	Biology	Biology	Sem3	124.212	189.352	0.55	1.45
#F8766D	Biology	Biology	Sem4	189.352	256.948	0.55	1.45
#F8766D	Biology	Biology	Sem5	256.948	326.306	0.55	1.45
#F8766D	Biology	Biology	Sem6	326.306	397.938	0.55	1.45
#F8766D	Biology	Biology	Sem7	397.938	471.11	0.55	1.45
#F8766D	Biology	Biology	Sem8	471.11	546.442	0.55	1.45
#B79F00	Chemistry	Chemistry	Sem1	0	60.674	1.55	2.45
#B79F00	Chemistry	Chemistry	Sem2	60.674	122.322	1.55	2.45
#B79F00	Chemistry	Chemistry	Sem3	122.322	185.762	1.55	2.45
#B79F00	Chemistry	Chemistry	Sem4	185.762	251.312	1.55	2.45
#B79F00	Chemistry	Chemistry	Sem5	251.312	318.598	1.55	2.45
#B79F00	Chemistry	Chemistry	Sem6	318.598	387.05	1.55	2.45
#B79F00	Chemistry	Chemistry	Sem7	387.05	457.756	1.55	2.45
#B79F00	Chemistry	Chemistry	Sem8	457.756	530.954	1.55	2.45
#00BA38	English	English	Sem1	0	63.892	2.55	3.45
#00BA38	English	English	Sem2	63.892	129.264	2.55	3.45
#00BA38	English	English	Sem3	129.264	197.218	2.55	3.45
#00BA38	English	English	Sem4	197.218	267.46	2.55	3.45
#00BA38	English	English	Sem5	267.46	339.564	2.55	3.45
#00BA38	English	English	Sem6	339.564	411.924	2.55	3.45
#00BA38	English	English	Sem7	411.924	487.3	2.55	3.45
#00BA38	English	English	Sem8	487.3	564.146	2.55	3.45
#00BFC4	History	History	Sem1	0	64.514	3.55	4.45
#00BFC4	History	History	Sem2	64.514	129.986	3.55	4.45
#00BFC4	History	History	Sem3	129.986	198.814	3.55	4.45
#00BFC4	History	History	Sem4	198.814	268.996	3.55	4.45
#00BFC4	History	History	Sem5	268.996	342.394	3.55	4.45
#00BFC4	History	History	Sem6	342.394	417.914	3.55	4.45
#00BFC4	History	History	Sem7	417.914	495.172	3.55	4.45
#00BFC4	History	History	Sem8	495.172	573.564	3.55	4.45
#619CFF	Mathematics	Mathematics	Sem1	0	55.882	4.55	5.45
#619CFF	Mathematics	Mathematics	Sem2	55.882	114.536	4.55	5.45
#619CFF	Mathematics	Mathematics	Sem3	114.536	175.4	4.55	5.45
#619CFF	Mathematics	Mathematics	Sem4	175.4	236.19	4.55	5.45
#619CFF	Mathematics	Mathematics	Sem5	236.19	300.446	4.55	5.45
#619CFF	Mathematics	Mathematics	Sem6	300.446	365.594	4.55	5.45
#619CFF	Mathematics	Mathematics	Sem7	365.594	433.842	4.55	5.45
#619CFF	Mathematics	Mathematics	Sem8	433.842	503.844	4.55	5.45
#F564E3	Physics	Physics	Sem1	0	58.66	5.55	6.45
#F564E3	Physics	Physics	Sem2	58.66	119.538	5.55	6.45
#F564E3	Physics	Physics	Sem3	119.538	181.73	5.55	6.45
#F564E3	Physics	Physics	Sem4	181.73	244.65	5.55	6.45
#F564E3	Physics	Physics	Sem5	244.65	312.074	5.55	6.45
#F564E3	Physics	Physics	Sem6	312.074	380.826	5.55	6.45
#F564E3	Physics	Physics	Sem7	380.826	451.462	5.55	6.45
#F564E3	Physics	Physics	Sem8	451.462	524.212	5.55	6.45
