fill	key	tooltip	clickSelects	showSelected1	ymin	ymax	xmin	xmax
#F8766D	Biology	"Subject: Biology
Semester: Sem1
Mean: 61.8%
Median: 62.5%
Range: 32.5-87.4%
Students: 50"	Biology	Sem1	0	61.792	0.55	1.45
#F8766D	Biology	"Subject: Biology
Semester: Sem2
Mean: 62.4%
Median: 65%
Range: 32.7-86.7%
Students: 50"	Biology	Sem2	61.792	124.212	0.55	1.45
#F8766D	Biology	"Subject: Biology
Semester: Sem3
Mean: 65.1%
Median: 66.2%
Range: 33.8-84.8%
Students: 50"	Biology	Sem3	124.212	189.352	0.55	1.45
#F8766D	Biology	"Subject: Biology
Semester: Sem4
Mean: 67.6%
Median: 66.2%
Range: 33.3-97.5%
Students: 50"	Biology	Sem4	189.352	256.948	0.55	1.45
#F8766D	Biology	"Subject: Biology
Semester: Sem5
Mean: 69.4%
Median: 69.6%
Range: 35.3-91.1%
Students: 50"	Biology	Sem5	256.948	326.306	0.55	1.45
#F8766D	Biology	"Subject: Biology
Semester: Sem6
Mean: 71.6%
Median: 72%
Range: 39.7-98.8%
Students: 50"	Biology	Sem6	326.306	397.938	0.55	1.45
#F8766D	Biology	"Subject: Biology
Semester: Sem7
Mean: 73.2%
Median: 75.1%
Range: 39.8-96.5%
Students: 50"	Biology	Sem7	397.938	471.11	0.55	1.45
#F8766D	Biology	"Subject: Biology
Semester: Sem8
Mean: 75.3%
Median: 76.4%
Range: 38.8-93.3%
Students: 50"	Biology	Sem8	471.11	546.442	0.55	1.45
#B79F00	Chemistry	"Subject: Chemistry
Semester: Sem1
Mean: 60.7%
Median: 64.1%
Range: 37.3-85.1%
Students: 50"	Chemistry	Sem1	0	60.674	1.55	2.45
#B79F00	Chemistry	"Subject: Chemistry
Semester: Sem2
Mean: 61.6%
Median: 63.1%
Range: 35.5-84.2%
Students: 50"	Chemistry	Sem2	60.674	122.322	1.55	2.45
#B79F00	Chemistry	"Subject: Chemistry
Semester: Sem3
Mean: 63.4%
Median: 65%
Range: 33.3-89.3%
Students: 50"	Chemistry	Sem3	122.322	185.762	1.55	2.45
#B79F00	Chemistry	"Subject: Chemistry
Semester: Sem4
Mean: 65.6%
Median: 66.2%
Range: 32.3-88.9%
Students: 50"	Chemistry	Sem4	185.762	251.312	1.55	2.45
#B79F00	Chemistry	"Subject: Chemistry
Semester: Sem5
Mean: 67.3%
Median: 67.6%
Range: 36.7-94.9%
Students: 50"	Chemistry	Sem5	251.312	318.598	1.55	2.45
#B79F00	Chemistry	"Subject: Chemistry
Semester: Sem6
Mean: 68.5%
Median: 70.3%
Range: 31.8-93%
Students: 50"	Chemistry	Sem6	318.598	387.05	1.55	2.45
#B79F00	Chemistry	"Subject: Chemistry
Semester: Sem7
Mean: 70.7%
Median: 71.8%
Range: 33.5-93.8%
Students: 50"	Chemistry	Sem7	387.05	457.756	1.55	2.45
#B79F00	Chemistry	"Subject: Chemistry
Semester: Sem8
Mean: 73.2%
Median: 74.7%
Range: 31.7-95.5%
Students: 50"	Chemistry	Sem8	457.756	530.954	1.55	2.45
#00BA38	English	"Subject: English
Semester: Sem1
Mean: 63.9%
Median: 64.2%
Range: 38.1-84.1%
Students: 50"	English	Sem1	0	63.892	2.55	3.45
#00BA38	English	"Subject: English
Semester: Sem2
Mean: 65.4%
Median: 66.3%
Range: 36.1-88.1%
Students: 50"	English	Sem2	63.892	129.264	2.55	3.45
#00BA38	English	"Subject: English
Semester: Sem3
Mean: 68%
Median: 70.3%
Range: 37.3-87.6%
Students: 50"	English	Sem3	129.264	197.218	2.55	3.45
#00BA38	English	"Subject: English
Semester: Sem4
Mean: 70.2%
Median: 72%
Range: 31-93.1%
Students: 50"	English	Sem4	197.218	267.46	2.55	3.45
#00BA38	English	"Subject: English
Semester: Sem5
Mean: 72.1%
Median: 74.2%
Range: 43.6-91.1%
Students: 50"	English	Sem5	267.46	339.564	2.55	3.45
#00BA38	English	"Subject: English
Semester: Sem6
Mean: 72.4%
Median: 71.9%
Range: 43.2-92.3%
Students: 50"	English	Sem6	339.564	411.924	2.55	3.45
#00BA38	English	"Subject: English
Semester: Sem7
Mean: 75.4%
Median: 75.8%
Range: 36.5-98.6%
Students: 50"	English	Sem7	411.924	487.3	2.55	3.45
#00BA38	English	"Subject: English
Semester: Sem8
Mean: 76.8%
Median: 80%
Range: 43.2-94.6%
Students: 50"	English	Sem8	487.3	564.146	2.55	3.45
#00BFC4	History	"Subject: History
Semester: Sem1
Mean: 64.5%
Median: 64.4%
Range: 34.7-90.9%
Students: 50"	History	Sem1	0	64.514	3.55	4.45
#00BFC4	History	"Subject: History
Semester: Sem2
Mean: 65.5%
Median: 64.9%
Range: 36.7-90.5%
Students: 50"	History	Sem2	64.514	129.986	3.55	4.45
#00BFC4	History	"Subject: History
Semester: Sem3
Mean: 68.8%
Median: 70.7%
Range: 35.8-91.5%
Students: 50"	History	Sem3	129.986	198.814	3.55	4.45
#00BFC4	History	"Subject: History
Semester: Sem4
Mean: 70.2%
Median: 71.1%
Range: 45.4-94.2%
Students: 50"	History	Sem4	198.814	268.996	3.55	4.45
#00BFC4	History	"Subject: History
Semester: Sem5
Mean: 73.4%
Median: 73.7%
Range: 39.3-100%
Students: 50"	History	Sem5	268.996	342.394	3.55	4.45
#00BFC4	History	"Subject: History
Semester: Sem6
Mean: 75.5%
Median: 77.5%
Range: 45-100%
Students: 50"	History	Sem6	342.394	417.914	3.55	4.45
#00BFC4	History	"Subject: History
Semester: Sem7
Mean: 77.3%
Median: 80%
Range: 40-98.1%
Students: 50"	History	Sem7	417.914	495.172	3.55	4.45
#00BFC4	History	"Subject: History
Semester: Sem8
Mean: 78.4%
Median: 79.3%
Range: 50.1-100%
Students: 50"	History	Sem8	495.172	573.564	3.55	4.45
