group	clickSelects	colour	fill
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Mathematics	#619CFF	#619CFF
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Physics	#F564E3	#F564E3
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
1	Chemistry	#B79F00	#B79F00
