fill	key	clickSelects	showSelected1	xmin	xmax	ymin	ymax
#1B3A57	S018	S018	Sem2	0	70.2166666666667	0.55	1.45
#1D3F5E	S018	S018	Sem3	70.2166666666667	141.566666666667	0.55	1.45
#16304A	S043	S043	Sem1	0	68.1166666666667	1.55	2.45
#22496C	S043	S043	Sem3	68.1166666666667	141.566666666667	1.55	2.45
#22496C	S043	S043	Sem4	141.566666666667	215.016666666667	1.55	2.45
#3772A2	S043	S043	Sem8	215.016666666667	296.45	1.55	2.45
#153049	S040	S040	Sem1	0	68	2.55	3.45
#1E4161	S040	S040	Sem2	68	139.816666666667	2.55	3.45
#2A587F	S040	S040	Sem5	139.816666666667	216.2	2.55	3.45
#2C5C85	S040	S040	Sem6	216.2	293.516666666667	2.55	3.45
#306490	S040	S040	Sem7	293.516666666667	372.416666666667	2.55	3.45
#152F48	S025	S025	Sem1	0	67.7666666666667	3.55	4.45
#254F73	S025	S025	Sem4	67.7666666666667	142.3	3.55	4.45
#2C5D86	S025	S025	Sem6	142.3	219.65	3.55	4.45
#306490	S025	S025	Sem7	219.65	298.55	3.55	4.45
#132B43	S048	S048	Sem1	0	66.9833333333333	4.55	5.45
#204465	S048	S048	Sem2	66.9833333333333	139.4	4.55	5.45
#2A5980	S048	S048	Sem3	139.4	215.966666666667	4.55	5.45
#2A5980	S048	S048	Sem5	215.966666666667	292.533333333333	4.55	5.45
#3B7BAE	S048	S048	Sem7	292.533333333333	375.7	4.55	5.45
#1D3F5E	S036	S036	Sem2	0	71.35	5.55	6.45
#224A6C	S036	S036	Sem4	71.35	144.883333333333	5.55	6.45
#356E9D	S036	S036	Sem7	144.883333333333	225.55	5.55	6.45
#1C3C5A	S002	S002	Sem2	0	70.7	6.55	7.45
#1A3956	S002	S002	Sem3	70.7	140.716666666667	6.55	7.45
#254E72	S002	S002	Sem4	140.716666666667	215.116666666667	6.55	7.45
#2D5E87	S002	S002	Sem5	215.116666666667	292.716666666667	6.55	7.45
#2A5980	S002	S002	Sem6	292.716666666667	369.266666666667	6.55	7.45
#326895	S002	S002	Sem7	369.266666666667	448.833333333333	6.55	7.45
#3670A0	S002	S002	Sem8	448.833333333333	530	6.55	7.45
#1F4262	S012	S012	Sem2	0	71.9166666666667	7.55	8.45
#336A97	S012	S012	Sem8	71.9166666666667	151.833333333333	7.55	8.45
#142D46	S028	S028	Sem1	0	67.45	8.55	9.45
#204567	S028	S028	Sem3	67.45	140.116666666667	8.55	9.45
#2B5A82	S028	S028	Sem4	140.116666666667	216.883333333333	8.55	9.45
#275379	S028	S028	Sem5	216.883333333333	292.4	8.55	9.45
